Fecha.DEATH	DATE_OF_DEATH
Fecha.TRANSPLANT	DATE_OF_TRANSPLANT
EDAD.UltC	AGE_AT_LAST_CONSULTATION
Causa_MUER	CAUSE_OF_DEATH
FECHA_NACMIENTO	BIRTHDATE
RITHM_	RHYTHM
BETABLOQ	BETABLOCKER
BebeActual	CURRENT_DRINKER
DATE_ONSET_OF_SYNTOMS	DATE_ONSET_OF_SYMPTOMS
HISTORIA_FAMILIAR_DE_DEATH_SUBITA	FAMILY_HISTORY_OF_SUDDEN_CARDIAC_DEATH
RECUPERA_FEVI	EJECTION_FRACTION_RECOVERY
QRS_DURATION_120	QRS_gt_120
Gr_alcohol	Alcohol grams
AGE_AT_INICIAL_CLINICAL_ASSESSMENT	Age at initial clinical assesement
INITIAL_EYECTION_FRACTION	Initial ejection fraction
DIASTOLIC_DIAMETER	Diastolic diameter
SEX	Sex males
FibrilaAuricular	Atrial fibrillation
FAMILY_HISTORY_OF_CARDIOMYOPATHY	Family history of CM
FAMILY_HISTORY_OF_SUDDEN_CARDIAC_DEATH	Family history of SCD
